,hour,Weekday
1294414,00,Monday
1294415,01,Monday
1294416,01,Monday
1294420,01,Monday
1294402,01,Monday
1294421,02,Monday
1294422,02,Monday
1294387,02,Monday
1294427,02,Monday
1294371,02,Monday
1294370,02,Monday
1294423,02,Monday
1294426,02,Monday
1294424,02,Monday
1294403,02,Monday
1294404,02,Monday
1294425,03,Monday
1294417,03,Monday
1294428,03,Monday
1294429,03,Monday
1294430,03,Monday
1294388,03,Monday
1294431,03,Monday
1294432,03,Monday
1294389,05,Monday
1294372,06,Monday
1294373,06,Monday
1294433,06,Monday
1294405,06,Monday
1294406,07,Monday
